time,close,MACD_short,MACD_long,MACD,MACD_signal,MACD_sign,DPR,buying_,buying_profit
2021-02-07,41268000.0,39569534.40528909,38580678.78287237,988855.6224167198,26996.098960243526,매수,0.9613529946187714,True,0.9613529946187714
2021-02-08,45837000.0,40823235.83111047,39146303.1743429,1676932.6567675695,357038.24817977514,매수,1.1107153242221577,True,1.1107153242221577
2021-02-09,49534000.0,42565620.2675056,39952890.14973061,2612730.117774993,808236.596646462,매수,1.080655365752558,True,1.080655365752558
2021-02-10,48402000.0,43733020.353274584,40606612.59635953,3126407.756915055,1271920.1359915154,매수,0.9771470101344532,True,0.9771470101344532
2021-02-11,50656000.0,45117734.08103587,41381595.677811615,3736138.403224252,1764805.7195063077,매수,1.0465683236229908,True,1.0465683236229908
2021-02-12,50506000.0,46195460.6110956,42083111.454462275,4112349.156633325,2234346.362211964,매수,0.9970388502842704,True,0.9970388502842704
2021-02-13,50890000.0,47134419.610667005,42758318.60193316,4376101.008733846,2662720.6144290557,매수,1.0076030570625272,True,1.0076030570625272
2021-02-14,51885000.0,48084577.073727906,43456233.262422174,4628343.811305732,3055862.377543231,매수,1.0195519748477107,True,1.0195519748477107
2021-02-15,51732000.0,48814087.07869598,44087566.28465138,4726520.794044606,3390005.7040391057,매수,0.9970511708586297,True,0.9970511708586297
2021-02-16,54293000.0,49909900.20976856,44864388.70612917,5045511.503639393,3721116.0939697106,매수,1.0495051418851,True,1.0495051418851
2021-02-17,56582000.0,51244349.92703798,45754496.06507918,5489853.861958794,4074871.536577516,매수,1.0421601311402944,True,1.0421601311402944
2021-02-18,58029000.0,52601304.1505027,46685148.64771033,5916155.502792366,4443134.899858431,매수,1.0255735039411826,True,1.0255735039411826
2021-02-19,59325000.0,53946062.513434865,47641831.588704884,6304230.9247299805,4815359.4173985785,매수,1.0223336607558289,True,1.0223336607558289
2021-02-20,64588000.0,56074474.31291454,48922383.829356134,7152090.483558409,5282710.96684191,매수,1.0887147071217869,True,1.0887147071217869
2021-02-21,65085000.0,57876595.91160456,50141906.95035646,7734688.9612481,5773111.045226382,매수,1.0076949278503746,True,1.0076949278503746
2021-02-22,59803000.0,58261879.54474695,50869864.50255669,7392015.042190261,6096894.21066729,매수,0.918844587846662,True,0.918844587846662
2021-02-23,52556000.0,57120696.964436725,50996751.97571667,6123944.988720052,6102304.397905833,매수,0.8788187883550992,True,0.8788187883550992
2021-02-24,55331000.0,56762755.897528715,51322534.776762776,5440221.120765939,5969887.1231880495,매도,1.0528008219803637,True,1.0528008219803637
2021-02-25,57468000.0,56903805.24575123,51783954.04793865,5119851.19781258,5799879.30203818,매도,1.0386221105709277,False,1.0
2021-02-26,53672000.0,56257442.261936165,51925571.12374455,4331871.138191618,5506276.790470939,매도,0.9339458481241735,False,1.0
2021-02-27,54016000.0,55809152.73610877,52082222.20169905,3726930.534409724,5150406.687119092,매도,1.0064093009390371,False,1.0
2021-02-28,51403000.0,54927920.50078144,52031367.02868031,2896553.4721011296,4699635.180608845,매도,0.9516254443127962,False,1.0
2021-03-01,54363000.0,54814936.227477245,52205803.289191715,2609132.9382855296,4281534.091406127,매도,1.0575841876933252,False,1.0
2021-03-02,55600000.0,54971949.17447912,52459545.56567118,2512403.6088079363,3927707.561096426,매도,1.0227544469584091,False,1.0
2021-03-03,57669000.0,55511359.868635766,52848726.2540037,2662633.6146320626,3674692.5236471267,매도,1.0372122302158273,False,1.0
